epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_acc_class2,trn_auc,trn_auc_class0,trn_auc_class1,trn_auc_class2,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_acc_class2,val_auc,val_auc_class0,val_auc_class1,val_auc_class2,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_loss
0,0.6852,0.7071,0.6571,0.6914,0.7245,0.742,0.7074,0.7141,0.0871,0.8206,0.0745,0.7364,0.6142,0.7744,0.8,0.7133,0.81,0.8419,0.8494,0.801,0.8609,0.1267,0.7532,0.1445,0.3641,0.6901,0.7887,0.5129
1,0.7138,0.7157,0.7086,0.7171,0.7771,0.781,0.778,0.7631,0.1243,0.7636,0.0692,0.756,0.5544,0.7611,0.7867,0.71,0.7867,0.8459,0.858,0.8016,0.8646,0.1033,0.7801,0.0969,0.4392,0.6905,0.7868,0.5765
2,0.7276,0.7386,0.7114,0.7329,0.8054,0.808,0.8061,0.7916,0.1643,0.699,0.1277,0.5595,0.5297,0.7844,0.8267,0.7367,0.79,0.8464,0.8681,0.7978,0.8595,0.11,0.7898,0.1065,0.4905,0.716,0.7812,0.566
3,0.7433,0.76,0.7243,0.7457,0.8152,0.8295,0.806,0.7999,0.1214,0.7671,0.0833,0.6569,0.521,0.7722,0.7933,0.7333,0.79,0.8548,0.8688,0.8195,0.8634,0.1133,0.7763,0.0806,0.578,0.7165,0.8081,0.4874
4,0.7614,0.7857,0.76,0.7386,0.8409,0.8596,0.8425,0.8137,0.1343,0.7565,0.0842,0.6427,0.4882,0.7744,0.8133,0.7167,0.7933,0.8511,0.8746,0.7944,0.8667,0.1167,0.7682,0.1193,0.4292,0.6942,0.7767,0.7486
5,0.7652,0.7857,0.7571,0.7529,0.8439,0.8585,0.8377,0.8237,0.1286,0.7704,0.0851,0.6595,0.4857,0.7711,0.81,0.72,0.7833,0.8549,0.8855,0.8022,0.8592,0.11,0.7988,0.1226,0.5349,0.6996,0.786,0.5522
6,0.7857,0.8086,0.78,0.7686,0.8685,0.8885,0.8639,0.8438,0.1686,0.7163,0.1267,0.5211,0.4514,0.7711,0.7933,0.7233,0.7967,0.848,0.87,0.8006,0.8584,0.1033,0.7974,0.1125,0.4618,0.7039,0.7853,0.5495
7,0.7943,0.8143,0.7843,0.7843,0.8716,0.8977,0.857,0.849,0.1386,0.7519,0.0759,0.6448,0.4471,0.75,0.7767,0.6967,0.7767,0.8407,0.8786,0.7844,0.8461,0.0867,0.8344,0.105,0.6017,0.6777,0.7646,0.6709
8,0.821,0.84,0.8143,0.8086,0.8948,0.9133,0.8847,0.8811,0.1243,0.7836,0.0524,0.7321,0.4098,0.7622,0.7967,0.7,0.79,0.8388,0.8842,0.7822,0.8338,0.1167,0.7989,0.1569,0.5336,0.6779,0.7578,0.5621
9,0.8329,0.8614,0.8143,0.8229,0.9081,0.9274,0.8941,0.8968,0.1529,0.7403,0.1165,0.4552,0.39,0.76,0.81,0.6833,0.7867,0.8284,0.8748,0.7624,0.8352,0.08,0.8509,0.1397,0.5342,0.659,0.7402,0.663
